Fecha,Medias,Desviaciones
2017/11/15,15.720983505249023,0.49860823154449463
2017/11/22,15.511390686035156,0.49424242973327637
2017/11/28,15.508110046386719,0.2807554006576538
2017/12/05,11.415262222290039,0.9084116220474243
2017/12/13,11.78167724609375,0.27983179688453674
2017/12/18,11.431200981140137,0.3698088824748993
2017/12/26,11.807352066040039,0.3606756627559662
2018/01/02,12.216243743896484,0.2985948622226715
2018/01/09,12.035869598388672,0.42353391647338867
2018/01/17,11.524864196777344,0.2762214243412018
2018/01/24,12.573280334472656,0.3250178098678589
2018/01/31,12.355557441711426,0.15376043319702148
2018/02/12,10.802577018737793,0.42110535502433777
2018/02/20,12.962960243225098,0.28663313388824463
2018/02/27,12.908258438110352,0.15716707706451416
2018/03/07,13.51704216003418,0.16973310708999634
2018/03/13,15.187907218933105,0.24125437438488007
2018/03/26,13.194050788879395,0.2170085459947586
2018/04/05,16.716062545776367,0.4494665861129761
2018/04/17,17.312650680541992,0.24110382795333862
